0,1,2,3,4,5,6,7,label
-0.0479523353832296,-0.5612622521500935,-0.37338310777562383,-0.2068558704325931,-1.1107138794800817,-1.1107138794800817,0.0,-0.7071067811865475,SAFE
-0.04796152013447203,-0.5612622521500935,-0.37338310777562383,-0.2068558704325931,-1.1107138794800817,-1.1107138794800817,0.0,-0.7071067811865475,SAFE
-0.047961133548425544,-0.561171511212009,-0.3732781886487589,-0.20011551887155996,0.9003218726933472,0.9003218726933472,0.0,-0.7071067811865475,SAFE
-0.0479523353832296,-0.552329941057396,-0.37338310777562383,-0.2068558704325931,-1.1107138794800817,-1.1107138794800817,0.0,-0.7071067811865475,SAFE
-0.0479523353832296,0.11787695632643604,-0.37338310777562383,-0.2068558704325931,-1.1107138794800817,-1.1107138794800817,0.0,-0.7071067811865475,SUSPICIOUS
-0.0479523353832296,-0.552329941057396,-0.37338310777562383,-0.2068558704325931,-1.1107138794800817,-1.1107138794800817,0.0,-0.7071067811865475,SAFE
-0.0479523353832296,-0.5612622521500935,-0.37338310777562383,-0.2068558704325931,-1.1107138794800817,-1.1107138794800817,0.0,-0.7071067811865475,SAFE
-0.0479523353832296,-0.5612622521500935,-0.37338310777562383,-0.2068558704325931,-1.1107138794800817,-1.1107138794800817,0.0,-0.7071067811865475,SAFE
-0.04796153345169481,-0.5612622521500935,-0.37338310777562383,-0.2068558704325931,-1.1107138794800817,-1.1107138794800817,0.0,-0.7071067811865475,SAFE
-0.0479615334250337,-0.5612622521500935,-0.37338310777562383,-0.2068558704325931,-1.1107138794800817,-1.1107138794800817,0.0,-0.7071067811865475,SAFE
-0.0479523353832296,-0.5612622521500935,-0.37338310777562383,-0.2068558704325931,-1.1107138794800817,-1.1107138794800817,0.0,-0.7071067811865475,SAFE
-0.047961533465025366,-0.378362548823429,-0.33318104921143005,-0.09226989389502997,0.9003218726933472,0.9003218726933472,0.0,-0.7071067811865475,SAFE
